# Train        Test        
    0.891083     0.964600 
    0.949983     0.967800 
    0.960167     0.976700 
    0.964600     0.973500 
    0.968883     0.982500 
    0.969817     0.980900 
    0.972800     0.978200 
    0.974683     0.983300 
    0.974867     0.984700 
    0.976950     0.985200 
    0.977183     0.980400 
    0.978100     0.985500 
    0.979383     0.986700 
    0.979650     0.986200 
    0.980500     0.986500 
    0.980933     0.985200 
    0.982150     0.987300 
    0.982383     0.989100 
    0.983150     0.989000 
    0.983617     0.987300 
    0.984500     0.985600 
    0.984867     0.987600 
    0.984367     0.988900 
    0.985967     0.988400 
    0.985233     0.991100 
    0.986017     0.989900 
    0.986133     0.987900 
    0.986517     0.987900 
    0.986767     0.988400 
    0.986767     0.988100 
    0.987167     0.986600 
    0.988250     0.989900 
    0.988000     0.990500 
    0.988233     0.988100 
    0.987833     0.990500 
    0.988400     0.991100 
    0.989100     0.990400 
    0.988367     0.989300 
    0.989700     0.989900 
    0.989583     0.991800 
    0.990083     0.988500 
    0.989333     0.990800 
    0.990433     0.990900 
    0.990250     0.991100 
    0.990033     0.991500 
    0.990633     0.990700 
    0.989933     0.991600 
    0.990550     0.992600 
    0.991117     0.991400 
    0.990850     0.991200 
    0.991283     0.991200 
    0.991133     0.989900 
    0.992000     0.990400 
    0.991567     0.989300 
    0.991533     0.990400 
    0.991433     0.991000 
    0.991450     0.991200 
    0.991900     0.990600 
    0.992150     0.991100 
    0.992017     0.992600 
    0.992333     0.990900 
    0.991850     0.992900 
    0.992017     0.991800 
    0.993317     0.992600 
    0.991950     0.992100 
    0.993133     0.991100 
    0.992683     0.990900 
    0.993250     0.991300 
    0.992867     0.989900 
    0.992983     0.991700 
    0.992933     0.990200 
    0.993317     0.991300 
    0.993167     0.991700 
    0.993783     0.991300 
    0.993650     0.992100 
    0.993383     0.992900 
    0.993033     0.992500 
    0.993033     0.991600 
    0.994000     0.993000 
    0.994083     0.992100 
    0.993800     0.990100 
    0.993733     0.991200 
    0.993533     0.991300 
    0.993400     0.991500 
    0.993983     0.990500 
    0.993383     0.992000 
    0.994217     0.991800 
    0.994917     0.992400 
    0.994700     0.991900 
    0.994300     0.992400 
    0.993983     0.992500 
    0.994033     0.992700 
    0.994417     0.991500 
    0.994500     0.991800 
    0.994700     0.991400 
    0.994917     0.992400 
    0.994633     0.991700 
    0.994717     0.991800 
    0.994850     0.992400 
    0.994467     0.991800 
