# Train        Test        
    0.353246     0.161600 
    0.162322     0.098143 
    0.127881     0.075724 
    0.113624     0.081804 
    0.101029     0.055215 
    0.094485     0.059354 
    0.087092     0.066726 
    0.082210     0.050879 
    0.079165     0.048265 
    0.073858     0.047316 
    0.073178     0.068911 
    0.069277     0.045686 
    0.065672     0.045051 
    0.062764     0.044091 
    0.060326     0.043016 
    0.058690     0.042261 
    0.056899     0.037026 
    0.055760     0.035565 
    0.052492     0.035572 
    0.051160     0.038293 
    0.048157     0.052112 
    0.048549     0.033506 
    0.047648     0.034195 
    0.044618     0.035267 
    0.044736     0.032909 
    0.043618     0.032639 
    0.042696     0.033894 
    0.040759     0.033639 
    0.040925     0.035210 
    0.040452     0.034963 
    0.039207     0.044197 
    0.037161     0.029453 
    0.036313     0.028943 
    0.035700     0.035504 
    0.035846     0.031973 
    0.035701     0.025680 
    0.033242     0.027766 
    0.033820     0.031567 
    0.032544     0.031513 
    0.031579     0.024777 
    0.030763     0.034767 
    0.032061     0.027634 
    0.031165     0.027069 
    0.029974     0.023912 
    0.029795     0.025083 
    0.029316     0.027226 
    0.028051     0.024744 
    0.027893     0.024434 
    0.027649     0.027580 
    0.028170     0.026521 
    0.026889     0.028859 
    0.026853     0.027141 
    0.025777     0.025695 
    0.025582     0.030943 
    0.025603     0.028590 
    0.024993     0.026248 
    0.025387     0.024790 
    0.023706     0.028321 
    0.024775     0.027107 
    0.024324     0.023662 
    0.023249     0.028068 
    0.024430     0.023623 
    0.024040     0.024529 
    0.021622     0.022007 
    0.022951     0.023591 
    0.021401     0.022615 
    0.021693     0.025347 
    0.021360     0.025303 
    0.021700     0.025980 
    0.020932     0.024106 
    0.021061     0.026573 
    0.020574     0.025425 
    0.020932     0.024269 
    0.019486     0.024133 
    0.019379     0.020785 
    0.020002     0.021109 
    0.020578     0.022171 
    0.018961     0.023457 
    0.018292     0.021231 
    0.018327     0.024974 
    0.019219     0.029602 
    0.018884     0.026008 
    0.018730     0.025121 
    0.018524     0.024496 
    0.018606     0.028513 
    0.019225     0.022486 
    0.017275     0.025909 
    0.016174     0.023228 
    0.016276     0.026496 
    0.016643     0.025468 
    0.017929     0.025123 
    0.017657     0.022295 
    0.017044     0.025396 
    0.017163     0.025891 
    0.016182     0.026092 
    0.015886     0.025463 
    0.016493     0.025783 
    0.015747     0.024549 
    0.014560     0.025168 
    0.016406     0.026101 
